home_avg_pts_for,home_avg_pts_against,home_last5_wins,home_home_wins_pct,home_away_wins_pct,home_avg_margin,away_avg_pts_for,away_avg_pts_against,away_last5_wins,away_home_wins_pct,away_away_wins_pct,away_avg_margin,home_court_flag,implied_total,efficiency_diff,target_total,target_margin,game_id,date,season,home_team_id,away_team_id
75.6,76.8,2,1.0,0.25,-1.2,74.8,82.4,2,0.6666666666666666,0.0,-7.6,1,150.39999999999998,6.400000000000006,128,14,401823435,2025-11-22,2026,236,2453
83.16666666666667,75.0,2,0.5,0.5,8.166666666666666,69.6,73.2,2,0.5,0.3333333333333333,-3.6,1,152.76666666666665,11.76666666666668,156,14,401823025,2025-11-22,2026,269,2117
62.0,73.6,2,1.0,0.0,-11.6,60.5,74.0,2,1.0,0.2,-13.5,1,122.5,1.9000000000000057,117,3,401813350,2025-11-22,2026,2099,2379
84.0,69.6,4,1.0,0.0,14.4,76.83333333333333,77.5,2,0.75,0.0,-0.6666666666666666,1,160.83333333333331,15.066666666666677,158,24,401817223,2025-11-22,2026,25,16
71.4,76.2,2,1.0,0.0,-4.8,69.33333333333333,87.33333333333333,1,0.5,0.0,-18.0,1,140.73333333333335,13.200000000000003,156,16,401823734,2025-11-22,2026,2934,2400
65.5,73.16666666666667,2,0.6666666666666666,0.0,-7.666666666666667,60.5,74.0,2,1.0,0.2,-13.5,0,126.0,5.833333333333329,115,-11,401820608,2025-11-22,2026,2066,2379
92.0,74.0,5,1.0,0.5,18.0,81.4,82.4,3,1.0,0.5,-1.0,1,173.4,19.0,169,31,401817457,2025-11-22,2026,2567,2032
95.4,71.4,4,0.8,0.5,24.0,75.6,79.8,3,1.0,0.5,-4.2,1,171.0,28.200000000000003,156,40,401812356,2025-11-22,2026,356,112358
69.2,74.6,2,0.5,0.3333333333333333,-5.4,72.66666666666667,65.33333333333333,3,0.6666666666666666,0.6666666666666666,7.333333333333333,0,141.86666666666667,-12.733333333333334,149,1,401812605,2025-11-22,2026,104,108
79.0,69.2,4,1.0,0.5,9.8,72.5,82.66666666666667,2,1.0,0.0,-10.166666666666666,1,151.5,19.96666666666667,129,19,401813439,2025-11-22,2026,2168,2428
78.6,64.6,2,0.6666666666666666,0.0,14.0,71.16666666666667,69.5,2,0.5,0.25,1.6666666666666667,1,149.76666666666665,12.333333333333329,122,2,401827522,2025-11-22,2026,2450,2261
79.6,73.2,3,0.75,0.0,6.4,67.16666666666667,77.5,1,1.0,0.0,-10.333333333333334,0,146.76666666666665,16.73333333333332,154,-4,401831206,2025-11-22,2026,113,2739
72.8,64.4,3,1.0,0.3333333333333333,8.4,65.2,67.8,1,0.5,0.0,-2.6,1,138.0,10.999999999999986,163,47,401829474,2025-11-22,2026,2571,2247
73.8,73.6,3,0.75,0.0,0.2,99.4,62.6,5,1.0,0.5,36.8,0,173.2,-36.6,155,-1,401809309,2025-11-22,2026,2752,61
75.4,73.8,2,1.0,0.0,1.6,71.8,72.8,3,1.0,0.3333333333333333,-1.0,1,147.2,2.6000000000000085,180,-14,401823190,2025-11-22,2026,2330,2217
86.2,77.8,4,1.0,0.0,8.4,70.2,71.2,2,0.0,0.6666666666666666,-1.0,0,156.4,9.400000000000006,179,-7,401813449,2025-11-22,2026,2184,111
86.6,71.2,4,1.0,0.0,15.4,75.83333333333333,63.833333333333336,2,0.75,0.0,12.0,1,162.43333333333334,3.3999999999999986,142,8,401823759,2025-11-23,2026,2751,2450
76.33333333333333,82.0,1,0.6666666666666666,0.0,-5.666666666666667,67.0,75.2,1,0.0,0.25,-8.2,1,143.33333333333331,2.5333333333333314,143,23,401813400,2025-11-23,2026,2711,116
72.4,78.8,1,0.5,0.0,-6.4,79.0,82.66666666666667,1,1.0,0.0,-3.6666666666666665,0,151.4,-2.73333333333332,163,-3,401830125,2025-11-23,2026,2433,2413
94.33333333333333,68.0,4,1.0,0.5,26.333333333333332,85.0,75.6,3,1.0,0.0,9.4,0,179.33333333333331,16.933333333333323,171,11,401830880,2025-11-23,2026,2272,2916
71.0,63.0,4,1.0,0.0,8.0,78.0,77.83333333333333,4,1.0,0.3333333333333333,0.16666666666666666,1,149.0,7.833333333333329,148,16,401825386,2025-11-23,2026,59,2698
71.6,81.6,2,1.0,0.0,-10.0,82.5,74.66666666666667,2,0.6666666666666666,0.3333333333333333,7.833333333333333,1,154.1,-17.83333333333333,179,19,401823517,2025-11-23,2026,56,2678
83.0,64.8,4,1.0,0.5,18.2,82.8,69.8,4,0.8,0.5,13.0,0,165.8,5.200000000000003,156,2,401826914,2025-11-23,2026,77,2579
71.66666666666667,63.833333333333336,3,1.0,0.0,7.833333333333333,77.4,74.0,3,0.6666666666666666,0.5,3.4,1,149.06666666666666,4.43333333333333,158,-8,401817446,2025-11-23,2026,221,2514
85.8,79.6,4,1.0,0.0,6.2,75.57142857142857,76.28571428571429,3,1.0,0.25,-0.7142857142857143,1,161.37142857142857,6.914285714285725,142,-10,401824091,2025-11-23,2026,2501,2900
86.0,82.0,3,0.75,0.0,4.0,61.2,87.4,0,0.0,0.0,-26.2,1,147.2,30.200000000000003,163,1,401829279,2025-11-23,2026,233,2569
80.6,71.8,2,1.0,0.0,8.8,80.6,69.0,4,1.0,0.75,11.6,0,161.2,-2.799999999999997,130,10,401831213,2025-11-23,2026,2572,2630
75.0,93.0,0,0.0,0.0,-18.0,83.8,76.8,2,1.0,0.25,7.0,0,158.8,-25.0,130,6,401830116,2025-11-23,2026,2430,2754
90.6,75.4,2,1.0,0.0,15.2,80.33333333333333,61.833333333333336,3,0.75,0.5,18.5,1,170.93333333333334,-3.3000000000000043,147,-1,401823869,2025-11-23,2026,2692,250
